% Model,VAM_UC_-_dispersivity_0-07m_-_2017-05-30.mph
% Version,COMSOL 5.3.0.223
% Date,"May 30 2017, 14:57"
% Table,Table 1 (c_n - point_4) - Point Evaluation 1 - c_n (c_n)
% Time (s),"Concentration (kg/m^3), Point: 4"
922000,5.317975540580579E-5
923000,5.285804631366234E-5
924000,5.25335301006351E-5
925000,5.220614019229418E-5
926000,5.1875810014209645E-5
927000,5.154247299195153E-5
928000,5.1206062551089956E-5
929000,5.0866512117194955E-5
930000,5.0523755115836623E-5
931000,5.017772497258503E-5
932000,4.9828355113010223E-5
933000,4.9475578962682304E-5
934000,4.911932994717133E-5
935000,4.8759541492047373E-5
936000,4.83961470228805E-5
937000,4.80290799652408E-5
938000,4.765827374469831E-5
939000,4.728366178682314E-5
940000,4.690517751718534E-5
941000,4.6522754361354964E-5
942000,4.613632574490213E-5
943000,4.5806629575080174E-5
944000,4.5544705847487036E-5
945000,4.528345473737135E-5
946000,4.5022876244733094E-5
947000,4.476297036957228E-5
948000,4.450373711188892E-5
949000,4.424517647168299E-5
950000,4.398728844895452E-5
951000,4.3730073043703474E-5
952000,4.3473530255929885E-5
953000,4.321766008563374E-5
954000,4.296246253281503E-5
955000,4.2707937597473764E-5
956000,4.245408527960994E-5
957000,4.220090557922356E-5
958000,4.194839849631463E-5
959000,4.169656403088314E-5
960000,4.144540218292909E-5
961000,4.119491295245249E-5
962000,4.0945096339453323E-5
963000,4.069595234393161E-5
964000,4.044748096588734E-5
965000,4.019968220532049E-5
966000,3.995255606223111E-5
967000,3.9706102536619165E-5
968000,3.9460321628484654E-5
969000,3.92152133378276E-5
970000,3.8970777664647984E-5
971000,3.872701460894581E-5
972000,3.848392417072108E-5
973000,3.824150634997379E-5
974000,3.7999761146703946E-5
975000,3.775868856091155E-5
976000,3.7518288592596586E-5
977000,3.7278561241759066E-5
978000,3.703950650839901E-5
979000,3.680112439251637E-5
980000,3.656341489411119E-5
981000,3.632637801318344E-5
982000,3.6090013749733145E-5
983000,3.585432210376029E-5
984000,3.5619303075264876E-5
985000,3.538495666424691E-5
986000,3.5151282870706374E-5
987000,3.491828169464329E-5
988000,3.468595313605765E-5
989000,3.4454297194949456E-5
990000,3.422331387131871E-5
991000,3.399300316516539E-5
992000,3.376336507648952E-5
993000,3.35343996052911E-5
994000,3.330610675157012E-5
995000,3.307848651532658E-5
996000,3.285153889656048E-5
997000,3.262526389527183E-5
998000,3.239966151146062E-5
999000,3.2174731745126854E-5
1000000,3.1950474596270524E-5
1001000,3.172689006489165E-5
1002000,3.150397815099021E-5
1003000,3.1281738854566214E-5
1004000,3.1060172175619665E-5
1005000,3.083927811415056E-5
1006000,3.0619056670158894E-5
1007000,3.039950784364467E-5
1008000,3.0180631634607897E-5
1009000,2.9962428043048565E-5
1010000,2.9744897068966668E-5
1011000,2.952803871236222E-5
1012000,2.9311852973235214E-5
1013000,2.9096339851585656E-5
1014000,2.8881499347413533E-5
1015000,2.8667331460718856E-5
1016000,2.8453836191501624E-5
1017000,2.824101353976183E-5
1018000,2.802886350549949E-5
1019000,2.7817386088714583E-5
1020000,2.7606581289407125E-5
1021000,2.7396449107577103E-5
1022000,2.718698954322453E-5
1023000,2.6978202596349397E-5
1024000,2.677008826695171E-5
1025000,2.6562646555031466E-5
1026000,2.6355877460588663E-5
1027000,2.6149780983623305E-5
1028000,2.5944357124135386E-5
1029000,2.5739605882124916E-5
1030000,2.5535527257591888E-5
1031000,2.5332121250536298E-5
1032000,2.5129387860958157E-5
1033000,2.492732708885746E-5
1034000,2.47259389342342E-5
1035000,2.4525223397088385E-5
1036000,2.4325180477420015E-5
1037000,2.412581017522909E-5
1038000,2.3927112490515604E-5
1039000,2.3729087423279566E-5
1040000,2.3531734973520963E-5
1041000,2.333505514123981E-5
1042000,2.3139047926436098E-5
1043000,2.299829944142079E-5
1044000,2.2925781418264366E-5
1045000,2.2853263395107946E-5
1046000,2.2780745371951527E-5
1047000,2.2708227348795108E-5
1048000,2.2635709325638685E-5
1049000,2.2563191302482265E-5
1050000,2.2490673279325846E-5
1051000,2.2418155256169423E-5
1052000,2.2345637233013007E-5
1053000,2.2273119209856584E-5
1054000,2.2200601186700165E-5
1055000,2.2128083163543742E-5
1056000,2.2055565140387326E-5
1057000,2.19830471172309E-5
1058000,2.1910529094074483E-5
1059000,2.183801107091806E-5
1060000,2.176549304776164E-5
1061000,2.169297502460522E-5
1062000,2.1620457001448802E-5
1063000,2.154793897829238E-5
1064000,2.147542095513596E-5
1065000,2.140290293197954E-5
1066000,2.1330384908823118E-5
1067000,2.1257866885666698E-5
1068000,2.118534886251028E-5
1069000,2.1112830839353856E-5
1070000,2.1040312816197436E-5
1071000,2.096779479304102E-5
1072000,2.0895276769884594E-5
1073000,2.0822758746728178E-5
1074000,2.0750240723571755E-5
1075000,2.0677722700415336E-5
1076000,2.0605204677258916E-5
1077000,2.0532686654102497E-5
